Travel ID,User ID,Travel/Stop,Trip Index,Start Time,End Time,Duration (Seconds),Start Lat,Start Lon,End Lat,End Lon,Final Mode,Predicted Mode,Main Activity,Validated?
7834319-7834321,643,Travel,11,2016-02-19 14:23:05 UTC,2016-02-19 14:29:16 UTC,371.0,1.3392953907515222,103.96161004861167,1.3415426662804015,103.96361821903702,Foot,,,false
7834321,643,Stop,,2016-02-19 14:29:16 UTC,2016-02-20 04:59:51 UTC,52235,,,1.341542666,103.9636182,Foot,,--,FALSE
7834321-7835041,643,Travel,12,2016-02-20 04:59:51 UTC,2016-02-20 05:23:57 UTC,1446.0,1.3415426662804015,103.96361821903702,1.3425055206627587,103.95335442264424,Foot,,,false
7835041,643,Stop,,2016-02-20 05:23:57 UTC,2016-02-20 06:58:15 UTC,5658,,,1.342505521,103.9533544,Foot,,--,FALSE
7835041-7837763,643,Travel,13,2016-02-20 06:58:15 UTC,2016-02-20 07:07:20 UTC,545.0,1.3425055206627587,103.95335442264424,1.34464553256164,103.9574932680876,Foot,,,false
7837763,643,Stop,,2016-02-20 07:07:20 UTC,2016-02-20 07:12:01 UTC,281,,,1.344645533,103.9574933,Foot,,--,FALSE
7837763-7837766,643,Travel,14,2016-02-20 07:12:01 UTC,2016-02-20 07:21:40 UTC,579.0,1.34464553256164,103.9574932680876,1.340853363866168,103.9607785034696,Foot,,,false
7837766,643,Stop,,2016-02-20 07:21:40 UTC,2016-02-20 07:26:30 UTC,290,,,1.340853364,103.9607785,Foot,,Change Mode/Transfer,FALSE
7837766-7837768,643,Travel,14,2016-02-20 07:26:30 UTC,2016-02-20 07:33:23 UTC,413.0,1.340853363866168,103.9607785034696,1.3415411149175807,103.96462843302827,Car/Van,,,false
7837768,643,Stop,,2016-02-20 07:33:23 UTC,2016-02-20 12:59:39 UTC,19576,,,1.341541115,103.9646284,Car/Van,,--,FALSE
7837768-7850544,643,Travel,15,2016-02-20 12:59:39 UTC,2016-02-20 13:23:04 UTC,1405.0,1.3415411149175807,103.96462843302827,1.3414949321412475,103.96379923320367,Foot,,,false
7850544,643,Stop,,2016-02-20 13:23:04 UTC,2016-02-21 21:25:29 UTC,115345,,,1.341494932,103.9637992,Foot,,--,FALSE
7850544-7856715,643,Travel,16,2016-02-21 21:25:29 UTC,2016-02-22 10:27:46 UTC,46937.0,1.3414949321412475,103.96379923320367,1.3363000834717265,103.9635262471709,Default,,,false
7856715,643,Stop,,2016-02-22 10:27:46 UTC,2016-02-22 10:49:26 UTC,1300,,,1.336300083,103.9635262,Default,,--,FALSE
7856715-7861183,643,Travel,17,2016-02-22 10:49:26 UTC,2016-02-22 10:52:11 UTC,165.0,1.3363000834717265,103.9635262471709,1.338824933863875,103.96447081416423,Foot,,,false
7861183,643,Stop,,2016-02-22 10:52:11 UTC,2016-02-22 10:55:38 UTC,207,,,1.338824934,103.9644708,Foot,,--,FALSE
7861183-7861185,643,Travel,18,2016-02-22 10:55:38 UTC,2016-02-22 10:57:00 UTC,82.0,1.338824933863875,103.96447081416423,1.3416671309436197,103.96403645299328,Foot,,,false
7861185,643,Stop,,2016-02-22 10:57:00 UTC,2016-02-23 03:05:06 UTC,58086,,,1.341667131,103.9640365,Foot,,--,FALSE
7861185-7862802,643,Travel,19,2016-02-23 03:05:06 UTC,2016-02-23 03:07:12 UTC,126.0,1.3416671309436197,103.96403645299328,1.3405654265050309,103.96302157335572,Foot,,,false
7862802,643,Stop,,2016-02-23 03:07:12 UTC,2016-02-23 05:28:27 UTC,8475,,,1.340565427,103.9630216,Foot,,--,FALSE
7862802-7862841,643,Travel,20,2016-02-23 05:28:27 UTC,2016-02-23 05:33:16 UTC,289.0,1.3405654265050309,103.96302157335572,1.3398007888331376,103.96109807339242,Foot,,,false
7862841,643,Stop,,2016-02-23 05:33:16 UTC,2016-02-23 09:15:47 UTC,13351,,,1.339800789,103.9610981,Foot,,--,FALSE
7862841-7863863,643,Travel,21,2016-02-23 09:15:47 UTC,2016-02-23 09:21:58 UTC,371.0,1.3398007888331376,103.96109807339242,1.3417491583126273,103.96398848625464,Default,,,false
7863863,643,Stop,,2016-02-23 09:21:58 UTC,2016-02-23 11:35:09 UTC,7991,,,1.341749158,103.9639885,Default,,--,FALSE
